,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,eux,them
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,heures,hours
19,vont,will
20,revoir,meet again
21,aucune,any
22,place,square
23,compris,understood
24,savais,knew
25,étaient,were
26,attention,Warning
27,pourrais,could
28,affaire,case
29,type,type
30,leurs,their
31,donné,given
32,train,train
33,corps,body
34,endroit,place
35,yeux,eyes
36,façon,way
37,écoute,listen
38,dont,whose
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,mis,placed
60,belle,beautiful
61,droit,law
62,aimerais,would like to
63,aujourd'hui,today
64,mari,husband
65,cause,cause
66,enfin,finally
67,espère,hope
68,eau,water
69,attendez,Wait
70,parti,left
71,nouvelle,new
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
